#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primate" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primate" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primate">
#                <taxonset id="TaxonSet.coding" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="2-457,660-896" id="coding" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primate" name="distribution" x="@birthRate.t:primate">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@coding" id="treeLikelihood.coding" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:primate">
#            <siteModel id="SiteModel.s:primate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primate" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primate" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:primate" spec="beast.evolution.substitutionmodel.TN93">
#                    <parameter id="rateAG.s:primate" lower="0.0" name="kappa1">2.0</parameter>
#                    <parameter id="rateCT.s:primate" lower="0.0" name="kappa2">2.0</parameter>
#                    <frequencies id="estimatedFreqs.s:primate" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primate" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primate" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primate" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:primate" id="treeLikelihood.noncoding" siteModel="@SiteModel.s:primate" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:primate">
#            <data data="@primate-mtDNA" filter="1,458-659,897-898" id="noncoding" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.coding	treeLikelihood.noncoding	TreeHeight	YuleModel	birthRate	rateAG	rateCT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
125000	-5983.1497156517835	-5993.411030102511	10.261314450727811	-4960.557083604544	-1032.8539464979679	0.25475996335149503	10.261314450727811	7.671681566232874	4.235232072751269	6.105536123373579	0.3150645903052946	0.2931892916245093	0.1109292124110946	0.28081690565910167	
130000	-5986.56452726407	-5997.009024970133	10.444497706063135	-4969.206816851345	-1027.802208118788	0.26795335642257495	10.444497706063135	7.7308754421551	4.030575907561264	6.105536123373579	0.3150645903052946	0.2891984278680477	0.12523047890729638	0.27050650291936146	
135000	-5985.003507401176	-5995.825386993083	10.82187959190752	-4967.974903445776	-1027.8504835473063	0.24778203608730606	10.82187959190752	8.366074569179993	3.8006147663209373	5.473084321205927	0.3150645903052946	0.2891984278680477	0.12523047890729638	0.27050650291936146	
140000	-5981.378599692028	-5991.733516528119	10.354916836091625	-4960.743490010663	-1030.9900265174567	0.2406391026179411	10.354916836091625	9.197083939853437	3.682660551393519	5.473084321205927	0.3130847172808507	0.2970536089696766	0.11935517083011148	0.27050650291936146	
145000	-5980.163082031892	-5989.598193929853	9.43511189796007	-4954.264145773266	-1035.334048156586	0.25317549493773417	9.43511189796007	10.1342971829771	3.682660551393519	5.271616043770818	0.3130847172808507	0.2970536089696766	0.11935517083011148	0.27050650291936146	
150000	-5987.565881262821	-5997.284722565864	9.718841303043948	-4962.605816900149	-1034.6789056657155	0.2583737770312968	9.718841303043948	10.32369537812206	3.682660551393519	5.212721645445102	0.3228183706931986	0.2970536089696766	0.1096215174177636	0.27050650291936146	
155000	-5979.813964643672	-5990.594879590935	10.780914947263376	-4963.443618451492	-1027.1512611394432	0.2444324353666916	10.780914947263376	6.344869055488365	3.682660551393519	5.212721645445102	0.3228183706931986	0.2730934854293968	0.1096215174177636	0.2944666264596412	
160000	-5985.871284186632	-5996.118563742283	10.247279555651545	-4969.392703679673	-1026.72586006261	0.24402799655342325	10.247279555651545	9.56349003365965	4.029306434274648	5.150876747516917	0.3219677292680432	0.2608327442739687	0.13179425674785555	0.2854052697101328	
165000	-5982.999728840815	-5993.81468082721	10.814951986395256	-4969.099225748987	-1024.7154550782232	0.23586758708858266	10.814951986395256	5.905803943967154	4.029306434274648	5.282165227482975	0.313282074331498	0.26951839921051385	0.12417873304642967	0.2930207934115587	
170000	-5983.297037547551	-5991.772413733435	8.475376185884624	-4952.59839782778	-1039.1740159056553	0.26575189909746155	8.475376185884624	3.8086967132890335	5.013500551661922	5.328579206144643	0.313282074331498	0.2926978290552446	0.1009993032016989	0.2930207934115587	
175000	-5984.146836019612	-5994.584875014629	10.438038995016816	-4960.535190979952	-1034.0496840346773	0.2518896604031464	10.438038995016816	5.825769739251808	3.7611453068395573	5.318711480760568	0.32255306741100587	0.29790722133048053	0.1009993032016989	0.2785404080568149	
180000	-5988.906307489894	-5997.415854346762	8.509546856867637	-4953.580631825756	-1043.835222521006	0.27612788936114957	8.509546856867637	3.8956999385493227	4.373263708076318	5.228665721474835	0.32255306741100587	0.29790722133048053	0.10238781235198262	0.2771518989065312	
185000	-5979.838380390085	-5990.208163596726	10.36978320664092	-4959.3090567945555	-1030.89910680217	0.24425295968459257	10.36978320664092	6.162934752831946	4.373263708076318	5.66171488533648	0.32255306741100587	0.2805822718152578	0.11564364486487588	0.28122101590886067	
190000	-5980.45568108392	-5990.981263383761	10.525582299840261	-4962.555797681785	-1028.4254657019758	0.2624602846501118	10.525582299840261	6.181151615974279	3.9021461304660856	5.66171488533648	0.32255306741100587	0.2805822718152578	0.11811188203484696	0.2787527787388896	
