Search rep 1 (of 2)
random seed = 220553
gen	best_like	time	optPrecision
7370	-5005.687693	189	0.5
7380	-5005.675976	189	0.5
7390	-5005.67533	189	0.5
7400	-5005.67533	189	0.5
7410	-5005.674695	189	0.5
7420	-5005.670376	189	0.5
7430	-5005.661836	189	0.5
7440	-5005.660011	189	0.5
7450	-5005.660011	189	0.5
7460	-5005.65511	189	0.5
7470	-5005.630481	190	0.5
7480	-5005.630411	190	0.5
7490	-5005.627882	190	0.5
7500	-5005.612729	190	0.5
7510	-5005.593489	190	0.5
7520	-5005.591506	190	0.5
7530	-5005.578886	190	0.5
7540	-5005.572557	190	0.5
7550	-5005.563062	190	0.5
7560	-5005.560585	190	0.5
7570	-5005.558463	190	0.5
7580	-5005.542515	190	0.5
7590	-5005.541959	190	0.5
7600	-5005.538047	190	0.5
7610	-5005.534378	190	0.5
7620	-5005.534293	190	0.5
7630	-5005.533821	190	0.5
7640	-5005.531641	190	0.5
7650	-5005.515053	190	0.5
7660	-5005.515053	190	0.5
7670	-5005.514438	190	0.5
7680	-5005.514438	190	0.5
7690	-5005.514437	190	0.5
7700	-5005.507193	190	0.5
7710	-5005.492989	190	0.5
7720	-5005.491167	190	0.5
7730	-5005.486489	190	0.5
7740	-5005.478709	190	0.5
7750	-5005.476486	190	0.5
7760	-5005.476095	191	0.5
7770	-5005.476094	191	0.5
7780	-5005.47586	191	0.5
7790	-5005.475296	191	0.5
7800	-5005.475226	191	0.5
7810	-5005.463645	191	0.5
7820	-5005.463645	191	0.5
7830	-5005.46359	191	0.5
7840	-5005.402988	191	0.5
7850	-5005.289817	191	0.5
7860	-5005.278309	191	0.5
7870	-5005.27058	191	0.5
7880	-5005.264611	191	0.5
7890	-5005.26449	191	0.5
7900	-5005.26449	191	0.5
7910	-5005.260438	191	0.5
7920	-5005.240355	191	0.5
7930	-5005.237894	191	0.5
7940	-5005.237893	191	0.5
7950	-5005.236826	191	0.5
7960	-5005.219964	191	0.5
7970	-5005.218971	191	0.5
7980	-5005.218744	191	0.5
7990	-5005.193962	191	0.5
8000	-5005.190091	191	0.5
8010	-5005.185374	191	0.5
8020	-5005.182597	191	0.5
8030	-5005.181573	191	0.5
8040	-5005.165516	191	0.5
8050	-5005.157247	192	0.5
8060	-5005.155821	192	0.5
8070	-5005.151056	192	0.5
8080	-5005.147238	192	0.5
8090	-5005.134928	192	0.5
8100	-5005.134914	192	0.5
8110	-5005.133025	192	0.5
8120	-5005.132172	192	0.5
8130	-5005.127669	192	0.5
8140	-5005.127669	192	0.5
8150	-5005.115395	192	0.5
8160	-5005.114813	192	0.5
8170	-5005.102255	192	0.5
8180	-5005.100718	192	0.5
8190	-5005.085609	192	0.5
8200	-5005.057544	192	0.5
8210	-5005.053574	192	0.5
8220	-5005.033193	192	0.5
8230	-5005.031737	192	0.5
8240	-5004.994444	192	0.5
8250	-5004.994359	192	0.5
8260	-5004.977125	192	0.5
8270	-5004.973323	192	0.5
8280	-5004.96615	192	0.5
8290	-5004.963698	192	0.5
8300	-5004.962641	192	0.5
8310	-5004.960125	192	0.5
8320	-5004.960124	192	0.5
8330	-5004.960012	192	0.5
8340	-5004.960012	193	0.5
8350	-5004.956728	193	0.5
8360	-5004.956636	193	0.5
8370	-5004.953362	193	0.5
8380	-5004.950982	193	0.5
8390	-5004.950972	193	0.5
8400	-5004.950929	193	0.5
8410	-5004.949805	193	0.5
8420	-5004.949779	193	0.5
8430	-5004.949775	193	0.5
8440	-5004.949775	193	0.5
8450	-5004.92925	193	0.5
8460	-5004.916659	193	0.5
8470	-5004.916659	193	0.5
8480	-5004.912333	193	0.5
8490	-5004.890871	193	0.5
8500	-5004.890861	193	0.5
8510	-5004.879726	193	0.451
8520	-5004.875104	193	0.451
8530	-5004.874911	193	0.451
8540	-5004.87082	193	0.451
8550	-5004.870489	193	0.451
8560	-5004.869873	193	0.451
8570	-5004.852558	193	0.451
8580	-5004.851916	193	0.451
8590	-5004.851914	193	0.451
